,X,SubjectIdentification,FirstName,LastName,SocialSecurityNumber,Sex,BirthDate,Race,Ethnicity,EyeColorText,RegisteredSexOffender,IncidentDate,IncidentID,IncidentStreet,IncidentCity,OffenseLocalStatute,OffenseLocalText,ArrestingOfficerBadgeID,ArrOfficerFirstName,ArrOfficerLastName,ArrestNumber,ArrestDate,ReleaseDate,WarrantType,ArrestingAgencyName,ArrestCategory,WeaponPresent,DrugsPresent,ChargeID,ChargeLevel,ChargeLevelState,ReleaseOfficerBadgeID,RelOfficerFirstName,RelOfficerLastName,TranspOfficerBadgeID,TranspOfficerFirstName,TranspOfficerLastName,SentenceID,ConvictionResults,SentenceTermDays,SentenceDurationYrs,AgeAtBooking,BookingID
1165,1165,ca18962e-a0c1-401f-b171-b2435b696ff2,Anthonie,Burton Johnston,577-39-1310,M,12/12/94,other,hispanic,brown,,7/9/15,2015-27812,6540 MAIN DR,Anytown,718.6(3),False Reports -- Citation Issued,6541,BEN,GINGERICH,20-01166,7/9/15,7/13/15, ,Any County Sheriff,Summoned-Cited,Knife,1,81499,M,Simple Misdemeanor,1673,TERRY,HAMM,2951,WILLIAM,STUCKEY,37262,sentenced,10,,42,25954
1166,1166,4813225f-77a2-4a65-a377-d5405e8c0c14,Adam,Robinson,599-44-0594,M,6/23/70,,nonhispanic,brown,1,7/14/13,2013-51606,2151 ROYAL AVE,Anytown,124.401(4)(m),POSSESSION OF AMMONIUM CHLORIDE (FELD),4076,DAVE,VRIEZELAAR,20-01167,7/16/13,7/18/13, ,Anytown Police Dept.,On-View,,1,74077,F,Felony D,1766,LUTHER,CASH,3479,MERTON,CASH,69901,sentenced,,5,49,48136
1167,1167,023a4c69-507d-46a1-833e-ffbe8af088e8,Christopher,Palmer,354-59-0622,M,10/18/60,white,,blue,,6/19/13,2013-71436,2151 ROYAL AVE,Anytown,"708.2A(1), 708.2A(4)","Domestic Abuse Assault, 3rd or Sub. Offense",7633,BRAD,HOLLWAY,20-01168,6/20/13,6/29/13, ,Any County Sheriff,Summoned-Cited,,1,84676,F,Felony D,8930,MERTON,POP,7780,REBECCA,BUSZKA,63835,,,1,58,68703
1168,1168,4e9b0f1f-1f0a-4346-adaa-8d9475431e1c,Kim,Miller,419-41-5797,F,9/22/85,,nonhispanic,grey,,10/25/13,2013-46727,2500 ROYAL AVE,Anytown,321J.2,OPER VEH WH INT OWI,5720,JEFF,RICH,20-01169,10/28/13,11/1/13,dispossessory warrant,Any County Sheriff,Taken into custody,,0,74982,M,Serious Misdemeanor,3763,DEREK,CHANDLER,3274,JOSEPH,DOHRMANN,87651,sentenced,360,1,50,76237
1169,1169,5481a0a0-5396-47cb-9749-03e429dd48b3,Kayla,Sims,769-33-7522,F,6/22/67,white,,brown,,5/4/13,2013-28919,BELTINE HIGHWAY  & S TOWNE DR,Anytown,709.4(2)(B),SEXUAL ABUSE 3RD DEGREE-VICT 12-13,1204,REBECCA,QUILES,20-01170,5/6/13,5/11/13, ,Any County Sheriff,On-View,,0,19570,F,Felony C,3260,SHINE,SMITH,9120,JEREMY,SCHINTLER,27799,,,5,48,84292
1170,1170,e4547d0c-ea15-4d2f-b105-36e9fc26afdd,Ronnie,Villarreal,575-99-7975,M,1/9/58,,,brown,,7/1/13,2013-11801,2151 ROYAL AVE,Anytown,123.47,PAULA,9382,MICHAEL,SCHMERBACH,20-01171,7/3/13,7/9/13, ,Anytown Police Dept.,Summoned-Cited,,1,40922,M,Simple Misdemeanor,6965,SCOTT,REINHARD,1061,DARIN,STRICKER,51066,,10,,56,65072
1171,1171,921b2250-f337-4877-9661-f5c161a80243,Rebecca,Becker,251-52-5053,F,1/12/61,other,nonhispanic,brown,,3/14/16,2016-22514,2151 ROYAL AVE,Anytown,"714.15(1)(a), 714.2(5)","Theft 5th Deg -- Rpr Snd Rec, Trnsfr <$100",3193,ERIK,NEELD,20-01172,3/16/16,3/20/16, ,Anytown Police Dept.,Summoned-Cited,,1,68039,M,Simple Misdemeanor,8829,ABE,ALKE,3675,BEN,BOSARD,39403,sentenced,10,,42,21137
1172,1172,4e9b0f1f-1f0a-4346-adaa-8d9475431e1c,Kimberly,Johnson,,F,9/22/85,white,nonhispanic,grey,,5/11/15,2015-62203,2151 ROYAL AVE,Anytown,321.174,No Valid DL,5418,JEREMY,POOLE,20-01173,5/12/15,5/13/15, ,Any County Sheriff,Summoned-Cited,,1,78107,M,Simple Misdemeanor,5264,JOSH,GLEASON,3625,MATT,SWARTZENDRUBER,56021,sentenced,10,,64,13198
1173,1173,939d2c14-3a8e-4ff2-b101-107919ce4d63,Brandon,Ellis,846-01-3560,M,8/5/71,,,brown,,6/22/15,2015-40339,STOUGHTON RD & BROADWAY,Anytown,708.8,Going Armed With Intent,6415,SARA,SCHINTLER,20-01174,6/25/15,7/1/15, ,Any County Sheriff,On-View,Handgun,0,83078,F,Felony D,9256,SHINE,VRIEZELAAR,4055,LIBBY,OTTO,78294,sentenced,,4,30,73156
1174,1174,852f2853-1f11-425d-9a34-a23b051a6ccf,Mark,Scott,029-56-9010,M,8/10/52,white,nonhispanic,green,,5/13/13,2013-91707,2151 ROYAL AVE,Anytown,155A.21,UNLAWFUL POSSESSION OF PRESCRIPTION DRUG (SRMS),7786,MITCH,DIERSEN,20-01175,5/13/13,5/18/13,bench warrant,Any County Sheriff,Summoned-Cited,Firearm,1,74693,M,Serious Misdemeanor,7273,VANZEE,BROCKLIN,3443,LIBBY,DARJANIA,54431,sentenced,360,1,36,33224
1175,1175,85286618-799c-49f4-9c8d-2f7f3aeb786a,Dickie,Cruz,442-08-7541,M,5/12/81,other,hispanic,grey,,11/11/16,2016-99430,2151 ROYAL AVE,Anytown,321.236(D),"VIOLATION OF LOCAL ORDINANCE (2,6) -",3038,JOHN,HENDRICKS,20-01176,11/12/16,11/13/16, ,Anytown Police Dept.,On-View,Handgun,1,13308,O,Scheduled Violation,5196,JON,HUMRICHOUSE,7054,MIKE,WERLING,78092,sentenced,,,60,59924
1176,1176,f2daaa05-d506-41b8-bda3-042176fc020e,Terry,Hood,527-57-7729,M,9/24/84,white,nonhispanic,brown,,11/10/15,2015-95621,2151 ROYAL AVE,Anytown,713.7,Burglary tools posessed,6769,BRAD,REGENWETHER,20-01177,11/12/15,11/17/15, ,Anytown Police Dept.,Summoned-Cited,,0,57616,O,Unknown,2682,MERTON,LEIK,2870,MIKE,HRUBY,21471,sentenced,,,33,33228
1177,1177,40a893ed-8b0d-43f6-8ff5-fd69d7a4737e,Gina,Rogers,492-03-6273,F,7/27/88,black,nonhispanic,brown,,10/19/13,2013-91562,2101 BROADWAY ,Anytown,124.401D(2)-A,DELIVER METH TO A MINOR - 1ST OFFENSE,1587,DARIN,ZACHARIAS,20-01178,10/19/13,10/22/13, ,Any County Sheriff,Summoned-Cited,,1,18201,O,Unknown,1601,KURT,MELLECKER,5826,REBECCA,GRIMM,64929,,,,28,28610
1178,1178,e0817b9d-042a-46e7-bde8-f0cb0e1b3ec1,Mark,Perez,314-96-1619,M,8/10/68,white,nonhispanic,brown,,5/10/15,2015-42610,2151 ROYAL AVE,Anytown,321J.2(C),OPER VEH WH INT (OWI) / 3RD OFFENSE (FELD),5822,CHRIS,VALE,20-01179,5/11/15,5/20/15, ,Any County Sheriff,On-View,Rifle,0,10221,F,Felony D,5206,BRAD,ROLING,9638,REBECCA,MERCER,77341,sentenced,,1,40,89537
1179,1179,268d31c4-12d5-424e-a9d5-e417700000a3,John,Lane,067-72-7919,M,7/9/97,white,nonhispanic,brown,,8/19/14,2014-74582,2151 ROYAL AVE,Anytown,,OPEN CONTAINER IN A  PUBLIC PLACE (IC ORDINANCE),5626,MATTHEW,DVORAK,20-01180,8/20/14,8/25/14, ,Any County Sheriff,Summoned-Cited,,1,98881,O,Unknown,1434,PAUL,SCHNEIDER,3456,MATT,CHANDLER,75382,sentenced,,,31,97300
1180,1180,9f815fd1-6c47-444f-ba78-3269a2899f94,William,Reed,491-38-0065,M,2/24/51,white,nonhispanic,brown,,1/1/13,2013-63324,2500 ROYAL AVE,Anytown,236.12(2C),"DOMESTIC ASSAULT, REF. 708.2(1) - 1989 (AGMS)",3457,MATT,SMITH,20-01181,1/4/13,1/11/13, ,Any County Sheriff,Taken into custody,Handgun,0,33225,M,Aggravated Misdemeanor,6097,PETER,DOWNES,9628,RORY,JELINEK,10155,sentenced,360,1,45,71798
1181,1181,6aaab8d2-9e17-4e8c-952c-1457af2985cf,Antonio,Reyes,,M,9/21/76,,nonhispanic,brown,,10/16/15,2015-13807,4400 MAIN DR,Anytown,461A.43,LITTERING GROUNDS -,8678,DORAN,WOLF,20-01182,10/17/15,10/23/15, ,Any County Sheriff,Taken into custody,,0,83251,O,Scheduled Violation,2122,ANGI,BATCHELLER,2347,BRAD,CLUBB,52038,,,,47,74212
1182,1182,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Miller,035-68-3884,F,4/1/58,white,nonhispanic,brown,,1/31/13,2013-25723,300 FEMRITE DR,Anytown,321.256,Fail to obey traffic control device,8928,RYAN,TIES,20-01183,2/1/13,2/7/13, ,Anytown Police Dept.,Summoned-Cited,Handgun,1,14868,O,Unknown,4123,PETER,CAROLAN,3376,PAUL,HAMBLIN,91680,sentenced,,,52,98707
1183,1183,6f7c243d-ac53-4479-8b76-565a8e2753e8,Justin,Taylor,600-38-0293,M,12/21/57,white,nonhispanic,brown,0,10/12/13,2013-13924,2151 ROYAL AVE,Anytown,321.20B-B,VIOLATION - FINANCIAL LIABILITY - ACCIDENT,9211,TYSON,SEYMOUR,20-01184,10/12/13,10/16/13, ,Any County Sheriff,Summoned-Cited,,0,10341,O,Scheduled Violation,7773,BOB,STUCKEY,2582,ROB,DOC,57626,sentenced,,,29,63113
1184,1184,577ca4b6-c08e-4457-ba97-fbd1f5011714,John,Oconnor,178-23-6979,M,9/6/91,white,,brown,,3/26/13,2013-24846,6540 MAIN DR,Anytown,453B.12A,TAXABLE SUBSTANCE-POSSESS OR DISTRIBUTE W/O TAX ST,9535,KEVIN,RICH,20-01185,3/27/13,4/2/13, ,Anytown Police Dept.,Taken into custody,,0,97229,F,Felony D,6971,BOB,RARICK,9768,CHAD,GLEASON,65327,sentenced,,5,47,15599
1185,1185,e4547d0c-ea15-4d2f-b105-36e9fc26afdd,Ronnie,Villarreal,575-99-7975,M,1/9/58,black,,brown,,10/10/14,2014-33519,1121 NICHOLS RD,Anytown,714.7B(3),THEFT DETECTION DEVICE - POSS TOOL TO REMOVE (SRMS,1599,BRAD,AKERS,20-01186,10/11/14,10/18/14, ,Any County Sheriff,On-View,,0,16260,M,Serious Misdemeanor,9604,VIRGINIA,SCHABILION,6865,BECKI,AKERS,85799,sentenced,60,,38,73421
1186,1186,c69d4511-d34c-46ad-b8a0-4b7d372eaf17,Michael,Hernandez Lewis,,M,5/28/89,other,hispanic,brown,0,10/5/14,2014-23548,2151 ROYAL AVE,Anytown,123.91,Public Intoxication (2nd),2255,DOUGLAS,MCKENNA,20-01187,10/8/14,10/13/14, ,Any County Sheriff,On-View,,0,39628,O,Unknown,9244,BRAD,REINHARD,4280,JUAN,MURPHY,50755,sentenced,,,22,52265
1187,1187,aa34f9b5-7615-4d07-936c-bae78ecd3437,Julie,Washington,230-93-9552,F,7/6/89,white,,grey,0,6/3/14,2014-17537,6401 COPPS AVE,Anytown,124.401B,POSSESSION ON CERTAIN PROPERTY-PENALTY ENHANCED,1236,DEMETRIUS,LINDLEY,20-01188,6/4/14,6/10/14,Warrant of delivery,Any County Sheriff,On-View,,1,39999,O,Other,1314,ARENS,SCHAAPVELD,5056,ALEX,GIST,96091,sentenced,,,27,70347
1188,1188,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Miller,035-68-3884,F,4/1/58,white,nonhispanic,brown,1,9/24/14,2014-69625,2101 BROADWAY ,Anytown,124.406(1)(a)-1,DRUG DISTRIBUTION VIOLATION (FELB),2261,JOEL,HAMM,20-01189,9/24/14,10/3/14, ,Anytown Police Dept.,Summoned-Cited,,1,95945,F,Felony B,3668,HANNA,GIST,1886,SHANE,NIELAND,46908,sentenced,,10,17,45957
1189,1189,cb60ce7f-5a31-40e4-9ab3-204004e4b71c,Mary,Fisher,760-11-2096,F,10/10/50,pacisland,nonhispanic,brown,,9/29/14,2014-70857,2500 ROYAL AVE,Anytown,719.4(2),ESCAPE OF MISDEMEANANT - 1978 (SRMS),7337,TODD,HEKTOEN,20-01190,10/1/14,10/10/14, ,Anytown Police Dept.,On-View,,0,34138,M,Serious Misdemeanor,2940,DANNY,HARTSHORN,8137,KURT,SCHRAMM,82033,cleared,90,,47,94065
1190,1190,f2daaa05-d506-41b8-bda3-042176fc020e,Terry,Hood,527-57-7729,M,9/24/84,white,nonhispanic,brown,1,11/15/14,2014-78792,BRIDGE RD & OWEN RD,Anytown,124.401(1)(d),Proh Acts -- Conspire Int/Del False Marij < 50 kg,9530,ALIRIO,LINDLEY,20-01191,11/17/14,11/17/14, ,Any County Sheriff,Taken into custody,,0,12286,F,Felony D,6644,MICHAEL,YOUNG,1641,RYAN,GRIMM,43605,sentenced,,1,34,14713
1191,1191,74b3c5c0-c647-4146-a8c5-da481bcbc50d,Marcus,Davis,082-74-0964,M,2/22/82,white,,brown,,1/23/13,2013-25218,6409 GATE RD,Anytown,"711.1, 711.3",Robbery 2nd  Deg -- Asslt or other Forc Fel threat,6841,SHAWN,SHINE,20-01192,1/24/13,1/29/13,dispossessory warrant,Any County Sheriff,Summoned-Cited,,1,79332,F,Felony C,3425,JOEL,SCHABILION,2542,MATT,LAKOSE,26574,sentenced,,5,42,89473
1192,1192,5aacae53-405f-4f85-8e92-b1a297f59259,William,Johnson,486-84-9177,M,11/15/87,white,,brown,,3/4/16,2016-75566,6002 QUEENS WAY,Anytown,714.10(1)(A),FRADULENT PRACTICE 2ND DEGREE,8683,MICHAEL,ARCENAS,20-01193,3/6/16,3/15/16, ,Any County Sheriff,Summoned-Cited,,1,92790,F,Felony D,7350,JEREMY,ARCENAS,6219,KEIL,TEBOCKHORST,45204,sentenced,,4,39,67991
1193,1193,ca28a9c7-400a-499a-ae42-95390634393b,April,Martinez,,F,11/21/61,other,,brown,,1/4/14,2014-35799,6540 MAIN DR,Anytown,715A.2(2)(A),FORGERY (FELD),1843,ADAM,SUTTON,20-01194,1/7/14,1/14/14, ,Anytown Police Dept.,Summoned-Cited,,0,11612,F,Felony D,7118,ANDREW,WALDSCHMIDT,6100,CHAD,JR,14078,sentenced,,1,36,42156
1194,1194,176c23a9-7db5-415e-bf85-0212c9eda59d,Meghan,Smith,081-83-9782,F,5/9/96,white,nonhispanic,grey,1,12/9/16,2016-24987,6430 BRIDGE RD,Anytown,"708.1, 708.2(4)",Assault -- General,8185,RYAN,STRICKER,20-01195,12/10/16,12/12/16, ,Any County Sheriff,Summoned-Cited,,1,18986,M,Simple Misdemeanor,6010,DAVID,GONZALEZ,2159,JOE,HARDING,36526,,10,,41,44224
1195,1195,4ba6bdca-1d5e-40ca-aced-433a20aa30c4,Patricia,Rodriguez,,F,1/7/94,,nonhispanic,brown,1,10/5/15,2015-10814,4503 MAIN DR,Anytown,665,Contempt of Court,8159,CARLOS,MCKENNA,20-01196,10/7/15,10/7/15, ,Any County Sheriff,Taken into custody,,0,72457,M,Serious Misdemeanor,2384,STEVE,JACOBS,7803,DARIN,OHARE,64720,sentenced,360,1,62,25138
1196,1196,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Natalie,Mckinney,826-81-9676,F,3/10/57,amindian,,brown,,5/30/14,2014-54821,5211 SCHLUTER RD,Anytown,"124.401(1)(c )(3), 124.413",Proh Acts -- Conspr Int Manf/Del Crack < 5 g,1748,SHAWN,CLARAHAN,20-01197,6/1/14,6/6/14, ,Any County Sheriff,Taken into custody,,0,14806,F,Felony C,3664,BRIAN,BROCKLIN,9834,MARCUS,KUNKEL,56183,sentenced,,5,58,37129
1197,1197,24635912-0793-42fd-a7a3-96f66e61d148,Thias,Webb,168-47-4795,M,1/21/70,,,blue,,8/4/15,2015-48478,2151 ROYAL AVE,Anytown,708.2C(3),"ASSAULT CAUSING INJURY, VIOL OF INDIV RIGHTS (AGMS",4253,MATT,HANSEN,20-01198,8/6/15,8/6/15, ,Any County Sheriff,Summoned-Cited,,0,24965,M,Aggravated Misdemeanor,3637,DARIN,SCHABILION,6524,CODY,YOUNG,21435,sentenced,720,2,56,72601
1198,1198,4f304f4a-a022-4903-a34b-e67901076b54,Joel,Perkins,215-42-4214,M,2/3/84,white,,brown,0,8/21/13,2013-22502,2101 BROADWAY ,Anytown,124.401(1)(d)-A,CONTROLLED SUBSTANCE VIOL. (AGMS),1442,JERRY,WILLIAMS,20-01199,8/22/13,8/31/13, ,Anytown Police Dept.,On-View,,0,56350,M,Aggravated Misdemeanor,4413,BEN,CASH,6576,CATHY,FAULKCON,75112,sentenced,720,2,52,80188
1199,1199,38d8f796-3ad5-4ae2-93da-afc0667d8705,Martha,Wheeler,077-05-4873,F,1/16/64,black,nonhispanic,blue,,7/4/13,2013-73046,2501 BROADWAY ,Anytown,321.353,UNSAFE ENTRY ONTO SIDEWALK OR ROADWAY -,7270,KURT,KAHLER,20-01200,7/7/13,7/8/13, ,Any County Sheriff,Taken into custody,Knife,1,53202,O,Scheduled Violation,1037,KEVIN,SCHINTLER,3162,JON,SMITHEY,81850,sentenced,,,27,61406
1200,1200,a572446a-effa-49cf-907f-cd8483b05b65,Shannon,Mcclure,,F,10/18/73,,nonhispanic,brown,,7/4/14,2014-56937,2151 ROYAL AVE,Anytown,462A.14E,VIOLATION OF ORDER NOT TO OPERATE MOTOR/SAILBOAT,1843,ADAM,NEELD,20-01201,7/7/14,7/12/14, ,Anytown Police Dept.,Summoned-Cited,,1,34105,M,Serious Misdemeanor,2263,LIBBY,FRANK,9937,AARON,SCHNEIDER,44078,cleared,90,,48,34690
1201,1201,ac4c96e6-f65d-4ff6-8e3f-d77a0a802caa,David,Mcmillan,121-98-9199,M,11/12/94,white,nonhispanic,blue,,7/9/16,2016-87368,2501 BROADWAY ,Anytown,124.401B,POSSESSION ON CERTAIN PROPERTY-PENALTY ENHANCED,5174,ALIRIO,HUMRICHOUSE,20-01202,7/10/16,7/19/16, ,Any County Sheriff,Summoned-Cited,,1,15159,O,Other,9843,JUAN,BARNEY,3437,BRENT,CASH,67957,sentenced,,,32,65060
1202,1202,176c23a9-7db5-415e-bf85-0212c9eda59d,Meghan,Smith,081-83-9782,F,5/9/96,black,nonhispanic,grey,,2/18/16,2016-36604,2151 ROYAL AVE,Anytown,717.2,CRUELTY TO ANIMALS - 1978 (SMMS),7302,KEVIN,STRONG,20-01203,2/19/16,2/20/16, ,Any County Sheriff,On-View,Rifle,1,74165,M,Simple Misdemeanor,7736,JOHN,FAULKCON,7796,DEBORAH,SANTIAGO,11080,sentenced,10,,40,71158
1203,1203,17cea6d4-bb0c-42da-80b2-80311857b997,Davey,Weaver,689-72-9682,M,12/5/87,white,nonhispanic,brown,1,3/18/13,2013-28259,2151 ROYAL AVE,Anytown,709A.6(2),USING A JUVENILE TO COMMIT AN INDICTABLE OFFENSE (,6636,SARAH,SCHABILION,20-01204,3/20/13,3/20/13, ,Any County Sheriff,Summoned-Cited,,0,35741,F,Felony C,6467,DANIEL,MURPHY,6532,NATHAN,ZACHARIAS,30243,sentenced,,5,25,99348
1204,1204,85286618-799c-49f4-9c8d-2f7f3aeb786a,Richard,Cruz,442-08-7541,M,5/12/81,,hispanic,grey,,8/16/16,2016-84406,2151 ROYAL AVE,Anytown,321.236(E),(10) LOCAL ORDINANCE -,1372,MERTON,BOSARD,20-01205,8/16/16,8/25/16, ,Any County Sheriff,Taken into custody,,0,34746,O,Scheduled Violation,1268,MIKE,FORDICE,4356,CHRISTINE,HIPPLE,66425,,,,19,39091
1205,1205,939d2c14-3a8e-4ff2-b101-107919ce4d63,Brandon,Ellis,846-01-3560,,8/5/71,,hispanic,brown,,12/11/13,2013-74519,2151 ROYAL AVE,Anytown,124.401(1)(d),Proh Acts -- Int/Del Marij < 50 kg,5052,DEBORAH,MARLOWE,20-01206,12/12/13,12/16/13, ,Any County Sheriff,On-View,,1,87462,F,Felony D,9017,JOSH,COOK,8168,MARK,BEEKS,22994,sentenced,,1,54,25854
1206,1206,4e9b0f1f-1f0a-4346-adaa-8d9475431e1c,Kimberly,Lopez,419-41-5797,F,9/22/85,white,nonhispanic,grey,,2/26/15,2015-12653,2151 ROYAL AVE,Anytown,124.401F,Tamper w Poss/Transpt Anhydrous Ammonia,6661,JOSH,GINGERICH,20-01207,2/28/15,3/4/15, ,Any County Sheriff,Taken into custody,,0,80077,M,Serious Misdemeanor,3469,ZACH,CHENEY,2220,THOMAS,COLEMAN,54237,sentenced,360,1,23,94196
1207,1207,5a5b4f40-e8d4-4d24-88c0-4d9fbc85518a,Tanner,Howard,751-97-6745,M,5/18/87,,nonhispanic,brown,,2/13/15,2015-29091,2151 ROYAL AVE,Anytown,724.30(3),RECKLESS USE OF A FIREARM WITH PROPERTY DAMAGE (AG,6474,ALEX,QUILES,20-01208,2/14/15,2/17/15, ,Anytown Police Dept.,On-View,,0,57066,M,Aggravated Misdemeanor,3711,DAVID,SWANSON,6835,JEREMY,MORGAN,56535,sentenced,360,1,27,46154
1208,1208,9df9806c-ea21-4ca3-9793-cc5417964f6c,Elizabeth,Gamble,,F,4/16/90,other,,green,,7/5/15,2015-52296,2501 BROADWAY ,Anytown,321.17,OPERATING NON REGISTERED VEHICLE -,1419,DUSTIN,BUSZKA,20-01209,7/5/15,7/11/15, ,Any County Sheriff,Taken into custody,,0,58979,O,Scheduled Violation,6545,STATE,ROLING,7003,RYAN,STUCKEY,53316,sentenced,,,25,26795
1209,1209,692b4ddd-74b4-476d-9940-c7f19ca6b2e5,Lori,Adams,035-68-3884,F,4/1/58,white,nonhispanic,brown,,11/4/13,2013-77417,2151 ROYAL AVE,Anytown,321.388,IMPROPER REGISTRATION PLATE LAMP -,2185,BRETT,CASH,20-01210,11/4/13,11/8/13, ,Any County Sheriff,Taken into custody,,0,10609,O,Scheduled Violation,9421,CODY,LORD,4745,ADAM,SMITHEY,10119,sentenced,,,23,39237
1210,1210,ba086259-551e-4764-be3c-a3a44d34de92,Tamara,Koch,144-04-8548,F,3/20/67,asian,nonhispanic,brown,,8/2/14,2014-45253,2151 ROYAL AVE,Anytown,703.3(1),ACCESSORY TO FELONY (AGMS),5950,GABE,HAMMES,20-01211,8/5/14,8/6/14, ,Anytown Police Dept.,On-View,,0,70452,M,Aggravated Misdemeanor,1513,ALIRIO,COLEMAN,6352,ALIRIO,BARNEY,65767,,360,1,34,78741
1211,1211,e6474925-d8f6-4641-a4ad-fd397ed22ce0,Natalie,Mckinney,826-81-9676,,3/10/57,other,,brown,,7/27/16,2016-50843,2151 ROYAL AVE,Anytown,124.402(1)(e),"POSS CONTR SUBS,KEEP OR PERMIT USE IN STRUCTURE OR",7019,MIKE,DARJANIA,20-01212,7/27/16,7/27/16, ,Anytown Police Dept.,On-View,,0,35161,M,Aggravated Misdemeanor,3198,AARON,MEYER,8988,MARK,LENZ,67758,sentenced,720,2,57,34310
1212,1212,80ee223d-294f-4dbd-b2f5-da2594f53358,Scott,Valenzuela,130-75-8635,M,12/22/55,white,nonhispanic,brown,,3/20/15,2015-91720,2409 BROADWAY ,Anytown,724.5,FAILURE TO CARRY/PRODUCE A CONCEALED WEAPONS PERMI,2628,BRAD,BLOMGREN,20-01213,3/21/15,3/25/15, ,Any County Sheriff,Taken into custody,Firearm,1,54387,M,Simple Misdemeanor,4124,KEVIN,MCMARTIN,1930,NICK,WOOD,16560,sentenced,10,,53,99497
1213,1213,4ba6bdca-1d5e-40ca-aced-433a20aa30c4,Patricia,Ortiz,477-25-6932,F,1/7/94,,,brown,1,4/12/13,2013-29360,3803 MAIN DR & PARKING,Anytown,321.216A(4),Use or Provide False Name/Info for DL or ID,4672,RYAN,ROLING,20-01214,4/13/13,4/21/13, ,Any County Sheriff,Taken into custody,Firearm,0,58849,M,Serious Misdemeanor,6680,BRENT,MOSES,7808,KURT,BUSZKA,10180,sentenced,90,,30,53006
1214,1214,9cd6d014-39d1-4ffe-b7db-c95d83e03668,Joel,Lopez Hopkins,,M,7/26/82,black,hispanic,brown,0,4/19/15,2015-48239,5805 MAIN DR,Anytown,321.297,DRIVING ON WRONG SIDE OF TWO WAY HIGHWAY -,9443,DOUGLAS,SMITHEY,20-01215,4/21/15,4/24/15, ,Any County Sheriff,Taken into custody,,0,22685,O,Scheduled Violation,8733,BRAD,ROBINSON,3942,ROSS,SAMMONS,90673,sentenced,,,47,59119
1215,1215,0d491a72-d233-48c4-8876-13202e2a1861,Steven,Gray Kelly,097-95-9305,M,3/9/54,white,,brown,,6/11/14,2014-34607,3909 MAIN DR,Anytown,724.16(1),"PISTOL,REVOLVER-ACQUISITION W/O PERMIT, TRANSFER T",2874,LUCAS,QUILES,20-01216,6/12/14,6/13/14, ,Any County Sheriff,Taken into custody,,1,32449,M,Aggravated Misdemeanor,1397,BRAD,FUCHS,7212,CRAIG,GLEASON,83758,sentenced,720,2,63,72766
1216,1216,1f3b30d5-41d4-4a75-9404-82b80453cbfc,Micah,Lawson,,M,6/16/72,black,hispanic,brown,,4/21/13,2013-37308,2151 ROYAL AVE,Anytown,"726.6(1), 726.6(2)",Child Endangerment -- Serious Injury Resulting,9335,REBECCA,SCHAAPVELD,20-01217,4/21/13,4/28/13, ,Any County Sheriff,Summoned-Cited,,1,86170,F,Felony C,5305,DOUGLAS,COOPER,2784,OHARE,MURGIA,55057,sentenced,,5,40,50633
1217,1217,8279edbe-ef1f-4af2-a55b-ca2675f1b36c,Jennifer,Cooley,703-50-5305,F,5/3/67,,,brown,,8/20/15,2015-50896,300 FEMRITE DR,Anytown,716.6,Criminal Mischief 5th Degree,3342,DANIEL,SCHWINDT,20-01218,8/20/15,8/22/15, ,Any County Sheriff,On-View,,0,44123,M,Simple Misdemeanor,9691,ELI,BUSZKA,8550,JEFF,MARLOWE,92019,sentenced,10,,61,82565
1218,1218,939d2c14-3a8e-4ff2-b101-107919ce4d63,Brandon,Ellis,846-01-3560,M,8/5/71,other,hispanic,brown,,9/18/16,2016-12908,2151 ROYAL AVE,Anytown,321J.4(8)(c),OPERATE VEHICLE W/O INTERLOCK (SMMS),6776,MERTON,SANTIAGO,20-01219,9/21/16,9/29/16,dispossessory warrant,Any County Sheriff,Taken into custody,,1,33879,M,Simple Misdemeanor,3064,BEN,COLEMAN,5854,VIRGINIA,BRADLEY,70774,sentenced,10,,61,14123
1219,1219,b4ca4ad5-caf4-43ee-9781-23fcdb322fe5,Michael,Murray,212-03-4416,M,10/8/87,,,brown,,8/7/13,2013-78956,2151 ROYAL AVE,Anytown,321.262,Hit and Run -- Veh Damage Only,5462,DEREK,BROCKLIN,20-01220,8/10/13,8/15/13, ,Anytown Police Dept.,On-View,Firearm,1,15703,M,Simple Misdemeanor,2187,MATTHEW,WISMAN,3730,D.J.,NOWAK,96861,sentenced,10,,25,53534
1220,1220,a0e0e159-80a0-4de2-817d-acc3daf8d37a,Kelly,Colon,658-40-8008,F,3/24/92,other,,blue,,11/13/15,2015-20506,,,"714.1(2), 714.2(2)","Theft 2nd Deg -- Misappr Prop > $1,000 < $10,000",4938,TODD,SCHABILION,20-01221,11/14/15,11/18/15, ,Anytown Police Dept.,On-View,,0,92317,F,Felony D,3402,WILLIAM,ROOFF,5327,DOC,SEYMOUR,23791,sentenced,,5,20,90221
